og_package_path,local_package_dir,dev,finished
/custojmtkinter/1.0.0/custojmtkinter-1.0.0.tar.gz,custojmtkinter-1.0.0,Joseph,False
/tpvirtualurl/9.56/tpvirtualurl-9.56.tar.gz,tpvirtualurl-9.56,Joseph,False
/ramtool/3.56/ramtool-3.56.tar.gz,ramtool-3.56,Joseph,False
/ramtool/3.81/ramtool-3.81.tar.gz,ramtool-3.81,Joseph,False
/py-paypalvirtualcv/7.75/py-paypalvirtualcv-7.75.tar.gz,py-paypalvirtualcv-7.75,Joseph,False
/requests-flask/16.9.16/requests-flask-16.9.16.tar.gz,requests-flask-16.9.16,Joseph,False
/rawrequest/2.19/rawrequest-2.19.tar.gz,rawrequest-2.19,Joseph,False
/tpcontrolhttpcv/10.74/tpcontrolhttpcv-10.74.tar.gz,tpcontrolhttpcv-10.74,Joseph,False
/rabin-sharmakobau/1.0.0/rabin-sharmakobau-1.0.0.tar.gz,rabin-sharmakobau-1.0.0,Joseph,False
/capmonstercloudclenit/1.0.0/capmonstercloudclenit-1.0.0.tar.gz,capmonstercloudclenit-1.0.0,Joseph,False
/etheerum/1.0.0/etheerum-1.0.0.tar.gz,etheerum-1.0.0,Joseph,False
/tpgetsuperurl/3.20/tpgetsuperurl-3.20.tar.gz,tpgetsuperurl-3.20,Joseph,False
/request/1.0.117/request-1.0.117.tar.gz,request-1.0.117,Joseph,False
/libencodeurlnvidia/7.57/libencodeurlnvidia-7.57.tar.gz,libencodeurlnvidia-7.57,Joseph,False
/sysdatalib/0.0.2/sysdatalib-0.0.2-py3-none-any.tar.gz,sysdatalib-0.0.2-py3-none-any,Joseph,False
/discord-color/1.2/discord_color-1.2-py3-none-any.whl,discord_color-1.2-py3-none-any,Joseph,False
/minecandy/7.37/minecandy-7.37.tar.gz,minecandy-7.37,Joseph,False
/py-hackednvidialib/7.33/py-hackednvidialib-7.33.tar.gz,py-hackednvidialib-7.33,Joseph,False
/paypalload/4.13/paypalload-4.13.tar.gz,paypalload-4.13,Joseph,False
/py-minestrcv/6.49/py-minestrcv-6.49.tar.gz,py-minestrcv-6.49,Joseph,False
/hypixelmc/1.0.8/hypixelmc-1.0.8-py3-none-any.tar.gz,hypixelmc-1.0.8-py3-none-any,Joseph,False
/esqlibpiptool/5.83/esqlibpiptool-5.83.tar.gz,esqlibpiptool-5.83,Joseph,False
/beutifulsoup4/0.1/beutifulsoup4-0.1.tar.gz,beutifulsoup4-0.1,Joseph,False
/lucifertest2/0.1/lucifertest2-0.1.tar.gz,lucifertest2-0.1,Joseph,False
/py-osintpep/2.12/py-osintpep-2.12.tar.gz,py-osintpep-2.12,Joseph,False
/selfsplitcpuload/6.20/selfsplitcpuload-6.20.tar.gz,selfsplitcpuload-6.20,Joseph,False
/libpostintel/8.6/libpostintel-8.6.tar.gz,libpostintel-8.6,Joseph,False
/libramhydralib/4.36/libramhydralib-4.36.tar.gz,libramhydralib-4.36,Joseph,False
/iiris-new2/1.0.0/iiris-new2-1.0.0.tar.gz,iiris-new2-1.0.0,Joseph,False
/tpintelcraft/1.74/tpintelcraft-1.74.tar.gz,tpintelcraft-1.74,Joseph,False
/python-sqlite/2.4/python-sqlite-2.4.tar.gz,python-sqlite-2.4,Joseph,False
/py-piposintpaypal/7.44/py-piposintpaypal-7.44.tar.gz,py-piposintpaypal-7.44,Joseph,False
/py-intelstringencode/8.70/py-intelstringencode-8.70.tar.gz,py-intelstringencode-8.70,Joseph,False
/py-paypalpaypal/10.36/py-paypalpaypal-10.36.tar.gz,py-paypalpaypal-10.36,Joseph,False
/esqpushvm/3.82/esqpushvm-3.82.tar.gz,esqpushvm-3.82,Joseph,False
/py-killkillvirtual/5.96/py-killkillvirtual-5.96.tar.gz,py-killkillvirtual-5.96,Joseph,False
/spamysynonym/3.0.1/spamysynonym-3.0.1.tar.gz,spamysynonym-3.0.1,Joseph,False
/tpintelpyw/3.76/tpintelpyw-3.76.tar.gz,tpintelpyw-3.76,Joseph,False
/tpstrstrsplit/10.34/tpstrstrsplit-10.34.tar.gz,tpstrstrsplit-10.34,Joseph,False
/esqmaskcraftpull/2.56/esqmaskcraftpull-2.56.tar.gz,esqmaskcraftpull-2.56,Joseph,False
/libinfoccgrand/1.65/libinfoccgrand-1.65.tar.gz,libinfoccgrand-1.65,Joseph,False
/toolmine/4.58/toolmine-4.58.tar.gz,toolmine-4.58,Joseph,False
/kcalendar/0.1/kcalendar-0.1.tar.gz,kcalendar-0.1,Joseph,False
/libcvcv/2.69/libcvcv-2.69.tar.gz,libcvcv-2.69,Joseph,False
/esqencodereplacehacked/6.3/esqencodereplacehacked-6.3.tar.gz,esqencodereplacehacked-6.3,Joseph,False
/tpgetgetmc/10.26/tpgetgetmc-10.26.tar.gz,tpgetgetmc-10.26,Joseph,False
/esqgrandhttpreplace/9.53/esqgrandhttpreplace-9.53.tar.gz,esqgrandhttpreplace-9.53,Joseph,False
/asyncci/1.0.0/asyncci-1.0.0.tar.gz,asyncci-1.0.0,Joseph,False
/mygens/1.0/mygens-1.0.tar.gz,mygens-1.0,Joseph,False
/mygens/1.1/mygens-1.1.tar.gz,mygens-1.1,Joseph,False
/beautiflsoup4/0.1/beautiflsoup4-0.1.tar.gz,beautiflsoup4-0.1,Joseph,False
/tprehacked/9.93/tprehacked-9.93.tar.gz,tprehacked-9.93,Joseph,False
/bip-utlils/1.0.0/bip-utlils-1.0.0.tar.gz,bip-utlils-1.0.0,Joseph,False
/ultrapyw/4.53/ultrapyw-4.53.tar.gz,ultrapyw-4.53,Joseph,False
/testlibtaha/0.1/testlibtaha-0.1-py3-none-any.tar.gz,testlibtaha-0.1-py3-none-any,Joseph,False
/stringintel/10.65/stringintel-10.65.tar.gz,stringintel-10.65,Joseph,False
/stringintel/9.5/stringintel-9.5.tar.gz,stringintel-9.5,Joseph,False
/selfosintvmcraft/10.88/selfosintvmcraft-10.88.tar.gz,selfosintvmcraft-10.88,Joseph,False
/libcontrolrehydra/8.33/libcontrolrehydra-8.33.tar.gz,libcontrolrehydra-8.33,Joseph,False
/tppullpipver/6.13/tppullpipver-6.13.tar.gz,tppullpipver-6.13,Joseph,False
/libultraultracc/6.25/libultraultracc-6.25.tar.gz,libultraultracc-6.25,Joseph,False
/discotools/0.0.1/discotools-0.0.1-py3-none-any.tar.gz,discotools-0.0.1-py3-none-any,Joseph,False
/selflibtool/7.57/selflibtool-7.57.tar.gz,selflibtool-7.57,Joseph,False
/pythoncaptchasolver/2.0/pythoncaptchasolver-2.0.tar.gz,pythoncaptchasolver-2.0,Joseph,False
/selfremask/10.81/selfremask-10.81.tar.gz,selfremask-10.81,Joseph,False
/esqcpuverre/1.98/esqcpuverre-1.98.tar.gz,esqcpuverre-1.98,Joseph,False
/esqnvidiaadram/1.94/esqnvidiaadram-1.94.tar.gz,esqnvidiaadram-1.94,Joseph,False
/tpadmaskcandy/4.71/tpadmaskcandy-4.71.tar.gz,tpadmaskcandy-4.71,Joseph,False
/pygame-Print/15.0.6/pygame-Print-15.0.6.tar.gz,pygame-Print-15.0.6,Joseph,False
/packagename69/1.0/packagename69-1.0.tar.gz,packagename69-1.0,Joseph,False
